,2022-06-18,"SusuKaleng,KecapManis,Tepung,BumbuInstan,MinumanSachet"
,2022-06-19,"Tepung,Gula,Rokok Surya 12,MinumanSachet,Saus"
,2022-06-20,"SusuKaleng,Rokok Surya 12,AirMineral,MieInstan,Gula"
,2022-06-21,"Telur,Rokok Surya 12,Larutan,Pepsodent"
,2022-06-22,"Pembalut,PopokBayi,CleoBotol,CleoKardus"
,2022-06-23,"Sunlight,Sabun,Rokok Surya 12,Sandal,TisuBasah,TisuKering"
,2022-06-24,"MieInstan,Gula,Saus,Shampoo,AirMineral"
,2022-06-25,"CleoBotol,Rokok Samporna 16,Larutan,Gula"
,2022-06-26,"CleoBotol,Rokok Surya 12"
,2022-06-27,"TisuKering,Telur,AirMineral"
,2022-06-28,"Sunlight,Shampoo,Gula"
,2022-06-29,"Telur,Minyak,Tepung"
,2022-06-30,"BumbuInstan,Larutan,TisuBasah,CleoKardus"
,2022-07-01,"TisuKering,Saus,BumbuInstan"
,2022-07-02,"Pembalut,CleoBotol"
,2022-07-03,"CleoBotol,Rokok Surya 12"
,2022-07-04,"TisuKering,Telur,AirMineral"
,2022-07-05,"CleoBotol,Rokok Samporna 16,Larutan,Gula"
,2022-07-06,"TisuKering,Saus,BumbuInstan,Nutrisari"
,2022-07-07,"SusuKaleng,BumbuInstan,Sabun,Rokok Surya 12,KecapManis,Nutrisari"
,2022-07-08,"Shampoo,Gula,Kopi,Rokok Surya 12,MinumanSachet,Nutrisari"
,2022-07-09,"Teh,Rokok Surya 12,Gula,Sabun,SusuKaleng,BumbuInstan,Nutrisari"
,2022-07-10,"Rokok Surya 12,AirMineral,Gula,Tepung,KecapManis,Nutrisari"
,2022-07-11,"Rokok Samporna 16,Nutrisari"
,2022-07-12,"BumbuInstan,Rokok Surya 12,Tepung,KecapManis,Gula,AirMineral,Nutrisari"
,2022-07-13,"MieInstan,Tepung,Rokok Surya 12,Gula,BumbuInstan,Nutrisari"
,2022-07-14,"MinumanSachet,KecapManis,Gula,Kopi,Nutrisari"
,2022-07-15,"AirMineral,Rokok Surya 12,MinumanSachet,SusuKaleng,Saus,Nutrisari"
,2022-07-16,"Shampoo,Gula,AirMineral,Tepung,Sabun,KecapManis,Nutrisari"
,2022-07-17,"KecapManis,Kopi,Tepung,Rokok Surya 12,Saus,Gula,Nutrisari"
,2022-07-18,"BumbuInstan,Teh,AirMineral,Kopi,Gula,Nutrisari"
,2022-07-19,"SusuKaleng,Rokok Surya 12,Tepung,Kopi,Nutrisari"
,2022-07-20,"Gula,KecapManis,AirMineral,BumbuInstan,MinumanSachet,Sabun,Nutrisari"
,2022-07-21,"Rokok Surya 12,Shampoo,BumbuInstan,MinumanSachet,KecapManis,Gula,Minyak,Nutrisari"
,2022-07-22,"Teh,Gula,AirMineral,MieInstan,Rokok Surya 12,Tepung,Minyak,Nutrisari"
,2022-07-23,"Shampoo,Rokok Surya 12,AirMineral,KecapManis,Gula,Minyak,Nutrisari"
,2022-07-24,"TisuKering,Telur,AirMineral,Minyak,Nutrisari"
,2022-07-25,"Shampoo,Rokok Surya 12,AirMineral,KecapManis,Gula,Minyak,Nutrisari"
,2022-07-26,"SusuKaleng,KecapManis,Tepung,BumbuInstan,MinumanSachet,Minyak,Nutrisari"
,2022-07-27,"Tepung,Gula,Rokok Surya 12,MinumanSachet,Saus,Minyak,Nutrisari"
,2022-07-28,"SusuKaleng,Rokok Surya 12,AirMineral,MieInstan,Gula,Minyak,Nutrisari"
,2022-07-29,"Telur,Rokok Surya 12,Larutan,Pepsodent,Minyak,Nutrisari"
,2022-07-30,"Pembalut,PopokBayi,CleoBotol,CleoKardus,Minyak,Nutrisari"
,2022-07-31,"CleoBotol,Rokok Samporna 16,Larutan,Gula,Minyak,Nutrisari"
,2022-08-01,"SusuKaleng,BumbuInstan,Sabun,Rokok Surya 12,KecapManis,Minyak,Nutrisari"
,2022-08-02,"Shampoo,Gula,Kopi,Rokok Surya 12,MinumanSachet,Nutrisari"
,2022-08-03,"Teh,Rokok Surya 12,Gula,Sabun,SusuKaleng,BumbuInstan,Nutrisari"
,2022-08-04,"Rokok Surya 12,AirMineral,Gula,Tepung,KecapManis,Nutrisari"
,2022-08-05,"CleoBotol,Rokok Samporna 16,Larutan,Gula,Nutrisari"
,2022-08-06,"Rokok Samporna 16,Minyak,Nutrisari"
,2022-08-07,"Rokok Samporna 16,Minyak,Nutrisari"
,2022-08-08,"Rokok Samporna 16,Minyak,Nutrisari"
,2022-08-09,"CleoBotol,Rokok Samporna 16,Larutan,Gula,Minyak,Nutrisari"
,2022-08-10,"Rokok Samporna 16,Gula,Minyak,Nutrisari"
,2022-08-11,"Rokok Surya 12,AirMineral,Gula,Tepung,KecapManis,Minyak,Nutrisari"
,2022-08-12,"Rokok Samporna 16,Minyak,Nutrisari"
,2022-08-13,"BumbuInstan,Rokok Surya 12,Tepung,KecapManis,Gula,AirMineral,Minyak,Nutrisari"
,2022-08-14,"MieInstan,Tepung,Rokok Surya 12,Gula,BumbuInstan,Minyak,Nutrisari"
,2022-08-15,"MinumanSachet,KecapManis,Gula,Kopi,Minyak,Nutrisari"
,2022-08-16,"AirMineral,Rokok Surya 12,MinumanSachet,SusuKaleng,Saus,Minyak,Nutrisari"
,2022-08-17,"Shampoo,Gula,AirMineral,Tepung,Sabun,KecapManis,Minyak,Nutrisari"
